연번,항목명,코드값,데이터변수명,코드값 설명
,,11,"특정 언어를 사용한 컴퓨터 프로그래밍, 앱 개발 (자바, 파이썬, C++ 등)",
20.0,컴퓨터 활용능력_5),1,"문서에서 복사·붙여넣기 기능을 사용하거나 파일, 폴더 등을 다른곳으로 복사하거나 이동하기",Y4_5
,,2,"이메일, 문자, 메신저(카카오톡 등)에 문서, 사진, 영상 등을 첨부하여 보내기",
,,3,엑셀에서 기본적인 수식 사용하기,
,,4,"새 장치 연결 및 설치(프린터, 모뎀, 메모리 등)",
,,5,"소프트웨어 검색, 다운로드, 설치",
,,6,"한글, 파워포인트 등을 사용하여 발표 자료 만들기",
,,7,"컴퓨터와 다른 기기 간의 파일 전송(카메라, 스마트폰 등으로부터 사진 및 음악 전송 포함)",
,,8,온라인에서 찾은 정보의 신뢰성 확인하기(다른 출처의 정보와 비교·확인하기),
,,9,"기기나 계정의 보안 조치 설정하기(암호설정(패턴, 지문, 비밀번호, 얼굴인식), 로그인 시도 알림)",
,,10,"개인정보(이름, 연락처, 사진 등)가 앱/온라인 계정을 통해 불필요하게 많이 제공/노출되지 않도록 설정",
,,11,"특정 언어를 사용한 컴퓨터 프로그래밍, 앱 개발 (자바, 파이썬, C++ 등)",
21.0,컴퓨터 활용능력_6),1,"문서에서 복사·붙여넣기 기능을 사용하거나 파일, 폴더 등을 다른곳으로 복사하거나 이동하기",Y4_6
,,2,"이메일, 문자, 메신저(카카오톡 등)에 문서, 사진, 영상 등을 첨부하여 보내기",
,,3,엑셀에서 기본적인 수식 사용하기,
,,4,"새 장치 연결 및 설치(프린터, 모뎀, 메모리 등)",
,,5,"소프트웨어 검색, 다운로드, 설치",
,,6,"한글, 파워포인트 등을 사용하여 발표 자료 만들기",
,,7,"컴퓨터와 다른 기기 간의 파일 전송(카메라, 스마트폰 등으로부터 사진 및 음악 전송 포함)",
,,8,온라인에서 찾은 정보의 신뢰성 확인하기(다른 출처의 정보와 비교·확인하기),
,,9,"기기나 계정의 보안 조치 설정하기(암호설정(패턴, 지문, 비밀번호, 얼굴인식), 로그인 시도 알림)",
,,10,"개인정보(이름, 연락처, 사진 등)가 앱/온라인 계정을 통해 불필요하게 많이 제공/노출되지 않도록 설정",
,,11,"특정 언어를 사용한 컴퓨터 프로그래밍, 앱 개발 (자바, 파이썬, C++ 등)",
22.0,컴퓨터 활용능력_7),1,"문서에서 복사·붙여넣기 기능을 사용하거나 파일, 폴더 등을 다른곳으로 복사하거나 이동하기",Y4_7
,,2,"이메일, 문자, 메신저(카카오톡 등)에 문서, 사진, 영상 등을 첨부하여 보내기",
,,3,엑셀에서 기본적인 수식 사용하기,
,,4,"새 장치 연결 및 설치(프린터, 모뎀, 메모리 등)",
,,5,"소프트웨어 검색, 다운로드, 설치",
,,6,"한글, 파워포인트 등을 사용하여 발표 자료 만들기",
,,7,"컴퓨터와 다른 기기 간의 파일 전송(카메라, 스마트폰 등으로부터 사진 및 음악 전송 포함)",
,,8,온라인에서 찾은 정보의 신뢰성 확인하기(다른 출처의 정보와 비교·확인하기),
,,9,"기기나 계정의 보안 조치 설정하기(암호설정(패턴, 지문, 비밀번호, 얼굴인식), 로그인 시도 알림)",
,,10,"개인정보(이름, 연락처, 사진 등)가 앱/온라인 계정을 통해 불필요하게 많이 제공/노출되지 않도록 설정",
,,11,"특정 언어를 사용한 컴퓨터 프로그래밍, 앱 개발 (자바, 파이썬, C++ 등)",
23.0,컴퓨터 활용능력_8),1,"문서에서 복사·붙여넣기 기능을 사용하거나 파일, 폴더 등을 다른곳으로 복사하거나 이동하기",Y4_8
,,2,"이메일, 문자, 메신저(카카오톡 등)에 문서, 사진, 영상 등을 첨부하여 보내기",
,,3,엑셀에서 기본적인 수식 사용하기,
,,4,"새 장치 연결 및 설치(프린터, 모뎀, 메모리 등)",
,,5,"소프트웨어 검색, 다운로드, 설치",
,,6,"한글, 파워포인트 등을 사용하여 발표 자료 만들기",
,,7,"컴퓨터와 다른 기기 간의 파일 전송(카메라, 스마트폰 등으로부터 사진 및 음악 전송 포함)",
,,8,온라인에서 찾은 정보의 신뢰성 확인하기(다른 출처의 정보와 비교·확인하기),
,,9,"기기나 계정의 보안 조치 설정하기(암호설정(패턴, 지문, 비밀번호, 얼굴인식), 로그인 시도 알림)",
,,10,"개인정보(이름, 연락처, 사진 등)가 앱/온라인 계정을 통해 불필요하게 많이 제공/노출되지 않도록 설정",
,,11,"특정 언어를 사용한 컴퓨터 프로그래밍, 앱 개발 (자바, 파이썬, C++ 등)",
24.0,컴퓨터 활용능력_9),1,"문서에서 복사·붙여넣기 기능을 사용하거나 파일, 폴더 등을 다른곳으로 복사하거나 이동하기",Y4_9
,,2,"이메일, 문자, 메신저(카카오톡 등)에 문서, 사진, 영상 등을 첨부하여 보내기",
,,3,엑셀에서 기본적인 수식 사용하기,
,,4,"새 장치 연결 및 설치(프린터, 모뎀, 메모리 등)",
,,5,"소프트웨어 검색, 다운로드, 설치",
,,6,"한글, 파워포인트 등을 사용하여 발표 자료 만들기",
,,7,"컴퓨터와 다른 기기 간의 파일 전송(카메라, 스마트폰 등으로부터 사진 및 음악 전송 포함)",
,,8,온라인에서 찾은 정보의 신뢰성 확인하기(다른 출처의 정보와 비교·확인하기),
,,9,"기기나 계정의 보안 조치 설정하기(암호설정(패턴, 지문, 비밀번호, 얼굴인식), 로그인 시도 알림)",
,,10,"개인정보(이름, 연락처, 사진 등)가 앱/온라인 계정을 통해 불필요하게 많이 제공/노출되지 않도록 설정",
,,11,"특정 언어를 사용한 컴퓨터 프로그래밍, 앱 개발 (자바, 파이썬, C++ 등)",
25.0,컴퓨터 활용능력_10),1,"문서에서 복사·붙여넣기 기능을 사용하거나 파일, 폴더 등을 다른곳으로 복사하거나 이동하기",Y4_10
,,2,"이메일, 문자, 메신저(카카오톡 등)에 문서, 사진, 영상 등을 첨부하여 보내기",
,,3,엑셀에서 기본적인 수식 사용하기,
,,4,"새 장치 연결 및 설치(프린터, 모뎀, 메모리 등)",
,,5,"소프트웨어 검색, 다운로드, 설치",
,,6,"한글, 파워포인트 등을 사용하여 발표 자료 만들기",
,,7,"컴퓨터와 다른 기기 간의 파일 전송(카메라, 스마트폰 등으로부터 사진 및 음악 전송 포함)",
,,8,온라인에서 찾은 정보의 신뢰성 확인하기(다른 출처의 정보와 비교·확인하기),
,,9,"기기나 계정의 보안 조치 설정하기(암호설정(패턴, 지문, 비밀번호, 얼굴인식), 로그인 시도 알림)",
,,10,"개인정보(이름, 연락처, 사진 등)가 앱/온라인 계정을 통해 불필요하게 많이 제공/노출되지 않도록 설정",
,,11,"특정 언어를 사용한 컴퓨터 프로그래밍, 앱 개발 (자바, 파이썬, C++ 등)",
26.0,컴퓨터 활용능력_11),1,"문서에서 복사·붙여넣기 기능을 사용하거나 파일, 폴더 등을 다른곳으로 복사하거나 이동하기",Y4_11
,,2,"이메일, 문자, 메신저(카카오톡 등)에 문서, 사진, 영상 등을 첨부하여 보내기",
,,3,엑셀에서 기본적인 수식 사용하기,
,,4,"새 장치 연결 및 설치(프린터, 모뎀, 메모리 등)",
,,5,"소프트웨어 검색, 다운로드, 설치",
,,6,"한글, 파워포인트 등을 사용하여 발표 자료 만들기",
,,7,"컴퓨터와 다른 기기 간의 파일 전송(카메라, 스마트폰 등으로부터 사진 및 음악 전송 포함)",
,,8,온라인에서 찾은 정보의 신뢰성 확인하기(다른 출처의 정보와 비교·확인하기),
,,9,"기기나 계정의 보안 조치 설정하기(암호설정(패턴, 지문, 비밀번호, 얼굴인식), 로그인 시도 알림)",
,,10,"개인정보(이름, 연락처, 사진 등)가 앱/온라인 계정을 통해 불필요하게 많이 제공/노출되지 않도록 설정",
,,11,"특정 언어를 사용한 컴퓨터 프로그래밍, 앱 개발 (자바, 파이썬, C++ 등)",
27.0,최근 인터넷 이용시기,1,1개월 이내,Y5
,,2,1개월 초과 ~ 3개월 이내,
,,3,3개월 초과 ~ 1년 이내,
,,4,인터넷 이용 안한 지 1년 넘음,
,,5,인터넷 이용한 적 없음,
28.0,인터넷 이용빈도,1,하루에 1회 이상,Y6_01
,,2,1주일에 1회 이상,
,,3,1주일에 1회 미만,
29.0,인터넷 이용빈도_평균 시간(시간),-,-,Y6_02_1
30.0,인터넷 이용빈도_평균 시간(분),-,-,Y6_02_2
31.0,인터넷 접속방법_1),1,유선인터넷 사용,Y7_1
,,2,와이파이 등 특정 범위 내에서 무선인터넷 사용,
,,3,이동형 무선 인터넷 공유기(에그) 등을 이용한 무선인터넷 사용,
,,4,3G/LTE 스마트폰을 이용한 무선인터넷 사용,
,,5,5G 스마트폰을 이용한 무선인터넷 사용,
32.0,인터넷 접속방법_2),1,유선인터넷 사용,Y7_2
,,2,와이파이 등 특정 범위 내에서 무선인터넷 사용,
,,3,이동형 무선 인터넷 공유기(에그) 등을 이용한 무선인터넷 사용,
,,4,3G/LTE 스마트폰을 이용한 무선인터넷 사용,
,,5,5G 스마트폰을 이용한 무선인터넷 사용,
33.0,인터넷 접속방법_3),1,유선인터넷 사용,Y7_3
,,2,와이파이 등 특정 범위 내에서 무선인터넷 사용,
,,3,이동형 무선 인터넷 공유기(에그) 등을 이용한 무선인터넷 사용,
,,4,3G/LTE 스마트폰을 이용한 무선인터넷 사용,
,,5,5G 스마트폰을 이용한 무선인터넷 사용,
34.0,인터넷 접속방법_4),1,유선인터넷 사용,Y7_4
,,2,와이파이 등 특정 범위 내에서 무선인터넷 사용,
,,3,이동형 무선 인터넷 공유기(에그) 등을 이용한 무선인터넷 사용,
,,4,3G/LTE 스마트폰을 이용한 무선인터넷 사용,
,,5,5G 스마트폰을 이용한 무선인터넷 사용,
35.0,인터넷 접속방법_5),1,유선인터넷 사용,Y7_5
,,2,와이파이 등 특정 범위 내에서 무선인터넷 사용,
,,3,이동형 무선 인터넷 공유기(에그) 등을 이용한 무선인터넷 사용,
,,4,3G/LTE 스마트폰을 이용한 무선인터넷 사용,
,,5,5G 스마트폰을 이용한 무선인터넷 사용,
36.0,인터넷 이용장소_1),1,가정,Y8_1
,,2,다른 사람(친구 등)의 집,
,,3,회사(직장),
,,4,학교ㆍ유치원ㆍ학원 등 교육장소,
,,5,"상업 시설(PC방, 커피숍, 식당, 공항, 호텔 등)",
,,6,"공공 시설(우체국, 주민센터, 관공서, 도서관 등)",
,,7,"이동 중(이동전화, 스마트폰, 태블릿PC 등 활용)",
,,8,기타,
37.0,인터넷 이용장소_2),1,가정,Y8_2
,,2,다른 사람(친구 등)의 집,
,,3,회사(직장),
,,4,학교ㆍ유치원ㆍ학원 등 교육장소,
,,5,"상업 시설(PC방, 커피숍, 식당, 공항, 호텔 등)",
,,6,"공공 시설(우체국, 주민센터, 관공서, 도서관 등)",
,,7,"이동 중(이동전화, 스마트폰, 태블릿PC 등 활용)",
,,8,기타,
38.0,인터넷 이용장소_3),1,가정,Y8_3
,,2,다른 사람(친구 등)의 집,
,,3,회사(직장),
,,4,학교ㆍ유치원ㆍ학원 등 교육장소,
,,5,"상업 시설(PC방, 커피숍, 식당, 공항, 호텔 등)",
,,6,"공공 시설(우체국, 주민센터, 관공서, 도서관 등)",
,,7,"이동 중(이동전화, 스마트폰, 태블릿PC 등 활용)",
,,8,기타,
39.0,인터넷 이용장소_4),1,가정,Y8_4
,,2,다른 사람(친구 등)의 집,
,,3,회사(직장),
,,4,학교ㆍ유치원ㆍ학원 등 교육장소,
,,5,"상업 시설(PC방, 커피숍, 식당, 공항, 호텔 등)",
,,6,"공공 시설(우체국, 주민센터, 관공서, 도서관 등)",
,,7,"이동 중(이동전화, 스마트폰, 태블릿PC 등 활용)",
,,8,기타,
40.0,인터넷 이용장소_5),1,가정,Y8_5
,,2,다른 사람(친구 등)의 집,
,,3,회사(직장),
,,4,학교ㆍ유치원ㆍ학원 등 교육장소,
,,5,"상업 시설(PC방, 커피숍, 식당, 공항, 호텔 등)",
,,6,"공공 시설(우체국, 주민센터, 관공서, 도서관 등)",
,,7,"이동 중(이동전화, 스마트폰, 태블릿PC 등 활용)",
,,8,기타,
41.0,인터넷 이용장소_6),1,가정,Y8_6
,,2,다른 사람(친구 등)의 집,
,,3,회사(직장),
,,4,학교ㆍ유치원ㆍ학원 등 교육장소,
,,5,"상업 시설(PC방, 커피숍, 식당, 공항, 호텔 등)",
,,6,"공공 시설(우체국, 주민센터, 관공서, 도서관 등)",
,,7,"이동 중(이동전화, 스마트폰, 태블릿PC 등 활용)",
,,8,기타,
42.0,인터넷 이용장소_7),1,가정,Y8_7
,,2,다른 사람(친구 등)의 집,
,,3,회사(직장),
,,4,학교ㆍ유치원ㆍ학원 등 교육장소,
,,5,"상업 시설(PC방, 커피숍, 식당, 공항, 호텔 등)",
,,6,"공공 시설(우체국, 주민센터, 관공서, 도서관 등)",
,,7,"이동 중(이동전화, 스마트폰, 태블릿PC 등 활용)",
,,8,기타,
43.0,인터넷 이용장소_8),1,가정,Y8_8
,,2,다른 사람(친구 등)의 집,
,,3,회사(직장),
,,4,학교ㆍ유치원ㆍ학원 등 교육장소,
,,5,"상업 시설(PC방, 커피숍, 식당, 공항, 호텔 등)",
,,6,"공공 시설(우체국, 주민센터, 관공서, 도서관 등)",
,,7,"이동 중(이동전화, 스마트폰, 태블릿PC 등 활용)",
,,8,기타,
44.0,인터넷 이용장소_기타,-,-,Y8_8_TXT
45.0,최근 모바일 인터넷 이용시기,1,1개월 이내,Y9
,,2,1개월 초과 ~ 3개월 이내,
,,3,3개월 초과 ~ 1년 이내,
,,4,모바일 기기로 인터넷 이용 안한 지 1년 넘음,
,,5,모바일 기기로 인터넷 이용한 적 없음,
46.0,최근 스마트폰 이용시기,1,1개월 이내,Y10
,,2,1개월 초과 ~ 3개월 이내,
,,3,3개월 초과 ~ 1년 이내,
,,4,스마트폰으로 인터넷 이용 안한 지 1년 넘음,
,,5,스마트폰으로 인터넷 이용한 적 없음,
47.0,인터넷 이용목적_커뮤니케이션_1),1,이메일,Y11_01_1_1
,,2,"SNS(페이스북, 인스타그램, 밴드, 카카오스토리, 트위터, 틱톡(TikTok), 블로그 등)",
,,3,"인스턴트 메신저(카카오톡, 인스타그램 DM, 페이스북 메신저, 라인, 텔레그램 등)",
,,4,"음성/영상 통화(보이스톡, 페이스톡, 페이스타임, 라인(LINE) 등) 및 음성채팅(스카이프, 디스코드, 토크온 등)",
,,5,온라인 게시판 의견 개진(댓글 작성 포함),
48.0,인터넷 이용목적_커뮤니케이션_2),1,이메일,Y11_01_1_2
,,2,"SNS(페이스북, 인스타그램, 밴드, 카카오스토리, 트위터, 틱톡(TikTok), 블로그 등)",
,,3,"인스턴트 메신저(카카오톡, 인스타그램 DM, 페이스북 메신저, 라인, 텔레그램 등)",
,,4,"음성/영상 통화(보이스톡, 페이스톡, 페이스타임, 라인(LINE) 등) 및 음성채팅(스카이프, 디스코드, 토크온 등)",
,,5,온라인 게시판 의견 개진(댓글 작성 포함),
49.0,인터넷 이용목적_커뮤니케이션_3),1,이메일,Y11_01_1_3
,,2,"SNS(페이스북, 인스타그램, 밴드, 카카오스토리, 트위터, 틱톡(TikTok), 블로그 등)",
,,3,"인스턴트 메신저(카카오톡, 인스타그램 DM, 페이스북 메신저, 라인, 텔레그램 등)",
,,4,"음성/영상 통화(보이스톡, 페이스톡, 페이스타임, 라인(LINE) 등) 및 음성채팅(스카이프, 디스코드, 토크온 등)",
,,5,온라인 게시판 의견 개진(댓글 작성 포함),
50.0,인터넷 이용목적_커뮤니케이션_4),1,이메일,Y11_01_1_4
,,2,"SNS(페이스북, 인스타그램, 밴드, 카카오스토리, 트위터, 틱톡(TikTok), 블로그 등)",
,,3,"인스턴트 메신저(카카오톡, 인스타그램 DM, 페이스북 메신저, 라인, 텔레그램 등)",
,,4,"음성/영상 통화(보이스톡, 페이스톡, 페이스타임, 라인(LINE) 등) 및 음성채팅(스카이프, 디스코드, 토크온 등)",
,,5,온라인 게시판 의견 개진(댓글 작성 포함),
51.0,인터넷 이용목적_커뮤니케이션_5),1,이메일,Y11_01_1_5
,,2,"SNS(페이스북, 인스타그램, 밴드, 카카오스토리, 트위터, 틱톡(TikTok), 블로그 등)",
,,3,"인스턴트 메신저(카카오톡, 인스타그램 DM, 페이스북 메신저, 라인, 텔레그램 등)",
,,4,"음성/영상 통화(보이스톡, 페이스톡, 페이스타임, 라인(LINE) 등) 및 음성채팅(스카이프, 디스코드, 토크온 등)",
