연번,항목명,코드값,데이터변수명,코드값 설명
,,5,"사진 및 동영상 촬영·공유(페이스북, 인스타그램, 밴드, 카카오스토리, X(트위터) 등)",
68.0,인터넷 이용목적_여가활동_4),1,TV 시청 및 라디오 청취,Y11_03_1_4
,,2,음악(노래) 듣기,
,,3,"이미지, 동영상, 영화 등 보기",
,,4,"게임(온라인게임, 게임 다운로드)",
,,5,"사진 및 동영상 촬영·공유(페이스북, 인스타그램, 밴드, 카카오스토리, X(트위터) 등)",
69.0,인터넷 이용목적_여가활동_5),1,TV 시청 및 라디오 청취,Y11_03_1_5
,,2,음악(노래) 듣기,
,,3,"이미지, 동영상, 영화 등 보기",
,,4,"게임(온라인게임, 게임 다운로드)",
,,5,"사진 및 동영상 촬영·공유(페이스북, 인스타그램, 밴드, 카카오스토리, X(트위터) 등)",
70.0,인터넷 이용목적_직업/직장_1),1,"구직활동 및 입사지원(채용공고 검색 및 지원, 아르바이트 포함)",Y11_04_1_1
,,2,"직업, 직장관련 온라인 참여(게시판, 메신저 등)",
,,3,"화상회의(직업·직장 관련 회의 참여를 위해 구글행아웃, 줌 등 서비스 사용)",
,,4,원격근무(디지털 기기를 활용한 재택근무 또는 스마트워크),
71.0,인터넷 이용목적_직업/직장_2),1,"구직활동 및 입사지원(채용공고 검색 및 지원, 아르바이트 포함)",Y11_04_1_2
,,2,"직업, 직장관련 온라인 참여(게시판, 메신저 등)",
,,3,"화상회의(직업·직장 관련 회의 참여를 위해 구글행아웃, 줌 등 서비스 사용)",
,,4,원격근무(디지털 기기를 활용한 재택근무 또는 스마트워크),
72.0,인터넷 이용목적_직업/직장_3),1,"구직활동 및 입사지원(채용공고 검색 및 지원, 아르바이트 포함)",Y11_04_1_3
,,2,"직업, 직장관련 온라인 참여(게시판, 메신저 등)",
,,3,"화상회의(직업·직장 관련 회의 참여를 위해 구글행아웃, 줌 등 서비스 사용)",
,,4,원격근무(디지털 기기를 활용한 재택근무 또는 스마트워크),
73.0,인터넷 이용목적_직업/직장_4),1,"구직활동 및 입사지원(채용공고 검색 및 지원, 아르바이트 포함)",Y11_04_1_4
,,2,"직업, 직장관련 온라인 참여(게시판, 메신저 등)",
,,3,"화상회의(직업·직장 관련 회의 참여를 위해 구글행아웃, 줌 등 서비스 사용)",
,,4,원격근무(디지털 기기를 활용한 재택근무 또는 스마트워크),
74.0,인터넷 이용목적_교육/학습_1),1,"온라인 교육(EBS온라인클래스, e학습터, 위두랑 등 학교의 온라인 강의, 학원 인터넷 강의, 대학사이버강좌, 인터넷 수능 방송,",Y11_05_1_1
,,2,"온라인 자료, 어학ㆍ백과사전 등 정보검색을 통한 지식습득/학습",
75.0,인터넷 이용목적_교육/학습_2),1,"온라인 교육(EBS온라인클래스, e학습터, 위두랑 등 학교의 온라인 강의, 학원 인터넷 강의, 대학사이버강좌, 인터넷 수능 방송,",Y11_05_1_2
,,2,"온라인 자료, 어학ㆍ백과사전 등 정보검색을 통한 지식습득/학습",
76.0,인터넷 이용목적_홈페이지 등 운영_1),1,개인 홈페이지 운영,Y11_06_1_1
,,2,"동영상 콘텐츠 제작 및 게시(유튜브, SOOP, 틱톡(TikTok) 등)",
,,3,블로그 운영,
77.0,인터넷 이용목적_홈페이지 등 운영_2),1,개인 홈페이지 운영,Y11_06_1_2
,,2,"동영상 콘텐츠 제작 및 게시(유튜브, SOOP, 틱톡(TikTok) 등)",
,,3,블로그 운영,
78.0,인터넷 이용목적_홈페이지 등 운영_3),1,개인 홈페이지 운영,Y11_06_1_3
,,2,"동영상 콘텐츠 제작 및 게시(유튜브, SOOP, 틱톡(TikTok) 등)",
,,3,블로그 운영,
79.0,인터넷 이용목적_기타_1),1,"인터넷뱅킹(조회, 이체, 예금, 대출 등)",Y11_07_1_1
,,2,상품이나 서비스 판매(중고거래 포함),
,,3,"여행, 교통, 숙박관련 서비스 예약 및 이용",
,,4,기타,
80.0,인터넷 이용목적_기타_2),1,"인터넷뱅킹(조회, 이체, 예금, 대출 등)",Y11_07_1_2
,,2,상품이나 서비스 판매(중고거래 포함),
,,3,"여행, 교통, 숙박관련 서비스 예약 및 이용",
,,4,기타,
81.0,인터넷 이용목적_기타_3),1,"인터넷뱅킹(조회, 이체, 예금, 대출 등)",Y11_07_1_3
,,2,상품이나 서비스 판매(중고거래 포함),
,,3,"여행, 교통, 숙박관련 서비스 예약 및 이용",
,,4,기타,
82.0,인터넷 이용목적_기타_4),1,"인터넷뱅킹(조회, 이체, 예금, 대출 등)",Y11_07_1_4
,,2,상품이나 서비스 판매(중고거래 포함),
,,3,"여행, 교통, 숙박관련 서비스 예약 및 이용",
,,4,기타,
83.0,인터넷 이용목적_기타,-,-,Y11_07_TXT
84.0,주 이용 동영상서비스 앱/사이트_1순위,1,"스트리밍 플랫폼 - 유튜브, SOOP, 치지직 등",Y12_1순위
,,2,"OTT 플랫폼 - 넷플릭스, 디즈니+, 쿠팡플레이, 왓챠, 웨이브, 라프텔, 아마존 프라임, 티빙, 애플TV+ 등",
,,3,"소셜 미디어 플랫폼 - 틱톡, 인스타 릴스, 페이스북 워치 등",
,,4,"미디어 플랫폼 - 포털사이트(네이버, 다음 TV, 카카오 TV), 통신사 앱/사이트(유플러스 모바일 TV, 올레TV, SKT 등)",
,,5,기타,
,,6,전혀 안봄/이용 안함,
85.0,주 이용 동영상서비스 앱/사이트_2순위,1,"스트리밍 플랫폼 - 유튜브, SOOP, 치지직 등",Y12_2순위
,,2,"OTT 플랫폼 - 넷플릭스, 디즈니+, 쿠팡플레이, 왓챠, 웨이브, 라프텔, 아마존 프라임, 티빙, 애플TV+ 등",
,,3,"소셜 미디어 플랫폼 - 틱톡, 인스타 릴스, 페이스북 워치 등",
,,4,"미디어 플랫폼 - 포털사이트(네이버, 다음 TV, 카카오 TV), 통신사 앱/사이트(유플러스 모바일 TV, 올레TV, SKT 등)",
,,5,기타,
,,6,전혀 안봄/이용 안함,
86.0,주 이용 동영상서비스 앱/사이트_기타,-,-,Y12_5_TXT
87.0,동영상서비스 이용시간_주평균 시간(시간),-,-,Y12_01_1
88.0,동영상서비스 이용시간_주평균 시간(분),-,-,Y12_01_2
89.0,주 이용 스트리밍 플랫폼,1,유튜브,Y13
,,2,SOOP,
,,3,치지직,
,,4,기타,
90.0,주 이용 스트리밍 플랫폼_기타,-,-,Y13_4_TXT
91.0,스트리밍 플랫폼 이용시간_주평균 시간(시간),-,-,Y13_01_1
92.0,스트리밍 플랫폼 이용시간_주평균 시간(분),-,-,Y13_01_2
93.0,온라인 미디어 이용여부_1) TV,1,예,Y14_1
,,2,아니오,
94.0,온라인 미디어 이용여부_2) 신문/뉴스,1,예,Y14_2
,,2,아니오,
95.0,온라인 미디어 이용여부_3) 라디오,1,예,Y14_3
,,2,아니오,
96.0,온라인 미디어 이용여부_4) 잡지/서적,1,예,Y14_4
,,2,아니오,
97.0,온라인 미디어 이용여부_5) 영화,1,예,Y14_5
,,2,아니오,
98.0,휴대형 정보통신기기 보유현황_1),1,노트북 컴퓨터,Y15_1_1
,,2,스마트폰,
,,3,일반 이동전화(스마트폰 제외),
,,4,"태블릿PC(갤럭시탭, 아이패드 등 태블릿)",
,,5,게임기(휴대 가능한 기기),
,,6,"스마트 워치(갤럭시 워치, 애플워치 등) 및 밴드(샤오미 미밴드, 갤럭시 핏 등)",
,,7,"AR·VR 기기(오큘러스 퀘스트, 기어 VR, HTC Vive, 애플 비전 프로 등)",
,,8,"전자책 단말기(리디페이퍼, 킨들, 코보, 크레마, 교보 SAM, 아이리버 스토리 등)",
,,9,기타,
99.0,휴대형 정보통신기기 보유현황_2),1,노트북 컴퓨터,Y15_1_2
,,2,스마트폰,
,,3,일반 이동전화(스마트폰 제외),
,,4,"태블릿PC(갤럭시탭, 아이패드 등 태블릿)",
,,5,게임기(휴대 가능한 기기),
,,6,"스마트 워치(갤럭시 워치, 애플워치 등) 및 밴드(샤오미 미밴드, 갤럭시 핏 등)",
,,7,"AR·VR 기기(오큘러스 퀘스트, 기어 VR, HTC Vive, 애플 비전 프로 등)",
,,8,"전자책 단말기(리디페이퍼, 킨들, 코보, 크레마, 교보 SAM, 아이리버 스토리 등)",
,,9,기타,
100.0,휴대형 정보통신기기 보유현황_3),1,노트북 컴퓨터,Y15_1_3
,,2,스마트폰,
,,3,일반 이동전화(스마트폰 제외),
,,4,"태블릿PC(갤럭시탭, 아이패드 등 태블릿)",
,,5,게임기(휴대 가능한 기기),
,,6,"스마트 워치(갤럭시 워치, 애플워치 등) 및 밴드(샤오미 미밴드, 갤럭시 핏 등)",
,,7,"AR·VR 기기(오큘러스 퀘스트, 기어 VR, HTC Vive, 애플 비전 프로 등)",
,,8,"전자책 단말기(리디페이퍼, 킨들, 코보, 크레마, 교보 SAM, 아이리버 스토리 등)",
,,9,기타,
101.0,휴대형 정보통신기기 보유현황_4),1,노트북 컴퓨터,Y15_1_4
,,2,스마트폰,
,,3,일반 이동전화(스마트폰 제외),
,,4,"태블릿PC(갤럭시탭, 아이패드 등 태블릿)",
,,5,게임기(휴대 가능한 기기),
,,6,"스마트 워치(갤럭시 워치, 애플워치 등) 및 밴드(샤오미 미밴드, 갤럭시 핏 등)",
,,7,"AR·VR 기기(오큘러스 퀘스트, 기어 VR, HTC Vive, 애플 비전 프로 등)",
,,8,"전자책 단말기(리디페이퍼, 킨들, 코보, 크레마, 교보 SAM, 아이리버 스토리 등)",
,,9,기타,
102.0,휴대형 정보통신기기 보유현황_5),1,노트북 컴퓨터,Y15_1_5
,,2,스마트폰,
,,3,일반 이동전화(스마트폰 제외),
,,4,"태블릿PC(갤럭시탭, 아이패드 등 태블릿)",
,,5,게임기(휴대 가능한 기기),
,,6,"스마트 워치(갤럭시 워치, 애플워치 등) 및 밴드(샤오미 미밴드, 갤럭시 핏 등)",
,,7,"AR·VR 기기(오큘러스 퀘스트, 기어 VR, HTC Vive, 애플 비전 프로 등)",
,,8,"전자책 단말기(리디페이퍼, 킨들, 코보, 크레마, 교보 SAM, 아이리버 스토리 등)",
,,9,기타,
103.0,휴대형 정보통신기기 보유현황_6),1,노트북 컴퓨터,Y15_1_6
,,2,스마트폰,
,,3,일반 이동전화(스마트폰 제외),
,,4,"태블릿PC(갤럭시탭, 아이패드 등 태블릿)",
,,5,게임기(휴대 가능한 기기),
,,6,"스마트 워치(갤럭시 워치, 애플워치 등) 및 밴드(샤오미 미밴드, 갤럭시 핏 등)",
,,7,"AR·VR 기기(오큘러스 퀘스트, 기어 VR, HTC Vive, 애플 비전 프로 등)",
,,8,"전자책 단말기(리디페이퍼, 킨들, 코보, 크레마, 교보 SAM, 아이리버 스토리 등)",
,,9,기타,
104.0,휴대형 정보통신기기 보유현황_7),1,노트북 컴퓨터,Y15_1_7
,,2,스마트폰,
,,3,일반 이동전화(스마트폰 제외),
,,4,"태블릿PC(갤럭시탭, 아이패드 등 태블릿)",
,,5,게임기(휴대 가능한 기기),
,,6,"스마트 워치(갤럭시 워치, 애플워치 등) 및 밴드(샤오미 미밴드, 갤럭시 핏 등)",
,,7,"AR·VR 기기(오큘러스 퀘스트, 기어 VR, HTC Vive, 애플 비전 프로 등)",
,,8,"전자책 단말기(리디페이퍼, 킨들, 코보, 크레마, 교보 SAM, 아이리버 스토리 등)",
,,9,기타,
105.0,휴대형 정보통신기기 보유현황_8),1,노트북 컴퓨터,Y15_1_8
,,2,스마트폰,
,,3,일반 이동전화(스마트폰 제외),
,,4,"태블릿PC(갤럭시탭, 아이패드 등 태블릿)",
,,5,게임기(휴대 가능한 기기),
,,6,"스마트 워치(갤럭시 워치, 애플워치 등) 및 밴드(샤오미 미밴드, 갤럭시 핏 등)",
,,7,"AR·VR 기기(오큘러스 퀘스트, 기어 VR, HTC Vive, 애플 비전 프로 등)",
,,8,"전자책 단말기(리디페이퍼, 킨들, 코보, 크레마, 교보 SAM, 아이리버 스토리 등)",
,,9,기타,
106.0,휴대형 정보통신기기 보유현황_9),1,노트북 컴퓨터,Y15_1_9
,,2,스마트폰,
,,3,일반 이동전화(스마트폰 제외),
,,4,"태블릿PC(갤럭시탭, 아이패드 등 태블릿)",
,,5,게임기(휴대 가능한 기기),
,,6,"스마트 워치(갤럭시 워치, 애플워치 등) 및 밴드(샤오미 미밴드, 갤럭시 핏 등)",
,,7,"AR·VR 기기(오큘러스 퀘스트, 기어 VR, HTC Vive, 애플 비전 프로 등)",
,,8,"전자책 단말기(리디페이퍼, 킨들, 코보, 크레마, 교보 SAM, 아이리버 스토리 등)",
,,9,기타,
107.0,휴대형 정보통신기기 보유현황_기타,-,-,Y15_TXT
108.0,최근 업무 용도 이메일 이용시기,1,1개월 이내,Y16_1
,,2,1개월 초과 ~ 3개월 이내,
,,3,3개월 초과 ~ 1년 이내,
,,4,업무 용도 이메일 이용 안한 지 1년 넘음,
,,5,업무 용도 이메일 이용한 적 없음,
109.0,최근 업무 외 용도 이메일 이용시기,1,1개월 이내,Y16_2
,,2,1개월 초과 ~ 3개월 이내,
,,3,3개월 초과 ~ 1년 이내,
,,4,업무 외 용도 이메일 이용 안한 지 1년 넘음,
,,5,업무 외 용도 이메일 이용한 적 없음,
110.0,최근 인스턴트메신저 이용시기,1,1개월 이내,Y17_1
,,2,1개월 초과 ~ 3개월 이내,
,,3,3개월 초과 ~ 1년 이내,
,,4,인스턴트 메신저 이용 안한 지 1년 넘음,
,,5,인스턴트 메신저 이용한 적 없음,
111.0,주 이용 인스턴트 메신저_1순위,1,카카오톡,Y18_1순위
,,2,페이스북 메신저,
,,3,라인,
,,4,네이트온,
,,5,텔레그램,
,,6,인스타그램 다이렉트메시지(DM),
,,7,네이버밴드 메신저,
,,8,기타,
112.0,주 이용 인스턴트 메신저_2순위,1,카카오톡,Y18_2순위
,,2,페이스북 메신저,
,,3,라인,
,,4,네이트온,
,,5,텔레그램,
,,6,인스타그램 다이렉트메시지(DM),
,,7,네이버밴드 메신저,
,,8,기타,
113.0,주 이용 인스턴트 메신저_기타,-,-,Y18_8_TXT
114.0,최근 SNS 이용시기,1,1개월 이내,Y19_1
,,2,1개월 초과 ~ 3개월 이내,
,,3,3개월 초과 ~ 1년 이내,
,,4,SNS 이용 안한 지 1년 넘음,
,,5,SNS 이용한 적 없음,
115.0,SNS 이용시간_주평균 시간(시간),-,-,Y20_1
116.0,SNS 이용시간_주평균 시간(분),-,-,Y20_2
117.0,주 이용 SNS 서비스_1순위,1,페이스북,Y21_1순위
,,2,인스타그램,
,,3,네이버 밴드,
,,4,카카오스토리,
,,5,X(트위터),
,,6,네이버 블로그,
,,7,티스토리,
,,8,네이버 카페,
,,9,다음 카페,
,,10,틱톡(TikTok),
,,11,스레드(Threads),
,,12,기타,
118.0,주 이용 SNS 서비스_2순위,1,페이스북,Y21_2순위
,,2,인스타그램,
,,3,네이버 밴드,
,,4,카카오스토리,
,,5,X(트위터),
,,6,네이버 블로그,
,,7,티스토리,
,,8,네이버 카페,
,,9,다음 카페,
,,10,틱톡(TikTok),
,,11,스레드(Threads),
,,12,기타,
119.0,주 이용 SNS 서비스_기타,-,-,Y21_12_TXT
120.0,SNS 이용 목적,1,업무(일) 용도,Y22
,,2,업무 외 개인적 용도,
,,3,업무(일) 및 개인적 용도 모두,
121.0,SNS 비이용 이유_1),1,필요가 없어서,Y23_1
,,2,사생활 및 개인정보 유출이 우려되어서,
,,3,SNS를 통해 알려진 정보는 믿을 수 없어서,
,,4,이용할 자신이 없거나 방법을 몰라서,
,,5,기타,
122.0,SNS 비이용 이유_2),1,필요가 없어서,Y23_2
,,2,사생활 및 개인정보 유출이 우려되어서,
,,3,SNS를 통해 알려진 정보는 믿을 수 없어서,
,,4,이용할 자신이 없거나 방법을 몰라서,
,,5,기타,
123.0,SNS 비이용 이유_3),1,필요가 없어서,Y23_3
,,2,사생활 및 개인정보 유출이 우려되어서,
,,3,SNS를 통해 알려진 정보는 믿을 수 없어서,
,,4,이용할 자신이 없거나 방법을 몰라서,
,,5,기타,
124.0,SNS 비이용 이유_4),1,필요가 없어서,Y23_4
,,2,사생활 및 개인정보 유출이 우려되어서,
,,3,SNS를 통해 알려진 정보는 믿을 수 없어서,
,,4,이용할 자신이 없거나 방법을 몰라서,
,,5,기타,
125.0,SNS 비이용 이유_5),1,필요가 없어서,Y23_5
,,2,사생활 및 개인정보 유출이 우려되어서,
,,3,SNS를 통해 알려진 정보는 믿을 수 없어서,
,,4,이용할 자신이 없거나 방법을 몰라서,
,,5,기타,
126.0,SNS 비이용 이유_기타,-,-,Y23_5_TXT
127.0,"인공지능 기술 이해도 및 식별능력_1) 스마트홈(냉장고, 청소기, 조명/온도 조절)",1,예,Y24_1
,,2,아니오,
128.0,인공지능 기술 이해도 및 식별능력_2) 얼굴인식 잠금해제,1,예,Y24_2
,,2,아니오,
129.0,인공지능 기술 이해도 및 식별능력_3) 고객 상담 챗봇을 통한 자동 응대,1,예,Y24_3
,,2,아니오,
130.0,인공지능 기술 이해도 및 식별능력_4) AI 기반 상품 추천 시스템,1,예,Y24_4
,,2,아니오,
131.0,인공지능 기술 이해도 및 식별능력_5) 재난정보 예측 및 사전제공 시스템,1,예,Y24_5
,,2,아니오,
132.0,인공지능 기술 이해도 및 식별능력_6) 교통사고나 위험상황 징후 탐지 예고,1,예,Y24_6
,,2,아니오,
133.0,인공지능 기술 이해도 및 식별능력_7) 드론 자동 비행,1,예,Y24_7
,,2,아니오,
134.0,인공지능 서비스 인지경험 분야_1),1,교육·학습,Y25_01_1_1
,,2,주거 편의,
,,3,커뮤니케이션/친교,
,,4,미디어,
,,5,금융,
,,6,교통,
,,7,헬스케어,
,,8,기타,
,,9,위 항목 중 알고 있는 인공지능 서비스가 없음,
135.0,인공지능 서비스 인지경험 분야_2),1,교육·학습,Y25_01_1_2
,,2,주거 편의,
,,3,커뮤니케이션/친교,
,,4,미디어,
,,5,금융,
,,6,교통,
,,7,헬스케어,
,,8,기타,
,,9,위 항목 중 알고 있는 인공지능 서비스가 없음,
136.0,인공지능 서비스 인지경험 분야_3),1,교육·학습,Y25_01_1_3
,,2,주거 편의,
,,3,커뮤니케이션/친교,
,,4,미디어,
,,5,금융,
,,6,교통,
,,7,헬스케어,
,,8,기타,
,,9,위 항목 중 알고 있는 인공지능 서비스가 없음,
137.0,인공지능 서비스 인지경험 분야_4),1,교육·학습,Y25_01_1_4
,,2,주거 편의,
,,3,커뮤니케이션/친교,
,,4,미디어,
,,5,금융,
,,6,교통,
,,7,헬스케어,
,,8,기타,
,,9,위 항목 중 알고 있는 인공지능 서비스가 없음,
138.0,인공지능 서비스 인지경험 분야_5),1,교육·학습,Y25_01_1_5
,,2,주거 편의,
,,3,커뮤니케이션/친교,
,,4,미디어,
,,5,금융,
,,6,교통,
,,7,헬스케어,
,,8,기타,
,,9,위 항목 중 알고 있는 인공지능 서비스가 없음,
139.0,인공지능 서비스 인지경험 분야_6),1,교육·학습,Y25_01_1_6
,,2,주거 편의,
,,3,커뮤니케이션/친교,
,,4,미디어,
,,5,금융,
,,6,교통,
,,7,헬스케어,
,,8,기타,
,,9,위 항목 중 알고 있는 인공지능 서비스가 없음,
140.0,인공지능 서비스 인지경험 분야_7),1,교육·학습,Y25_01_1_7
,,2,주거 편의,
,,3,커뮤니케이션/친교,
,,4,미디어,
,,5,금융,
,,6,교통,
,,7,헬스케어,
,,8,기타,
,,9,위 항목 중 알고 있는 인공지능 서비스가 없음,
141.0,인공지능 서비스 인지경험 분야_8),1,교육·학습,Y25_01_1_8
,,2,주거 편의,
,,3,커뮤니케이션/친교,
,,4,미디어,
,,5,금융,
,,6,교통,
,,7,헬스케어,
,,8,기타,
,,9,위 항목 중 알고 있는 인공지능 서비스가 없음,
142.0,인공지능 서비스 인지경험 분야_기타,-,-,Y25_01_1_8_TXT
143.0,인공지능 서비스 인지경험 분야_없음,1,교육·학습,Y25_01_1_9
,,2,주거 편의,
,,3,커뮤니케이션/친교,
,,4,미디어,
,,5,금융,
,,6,교통,
,,7,헬스케어,
,,8,기타,
,,9,위 항목 중 알고 있는 인공지능 서비스가 없음,
144.0,인공지능 서비스 이용경험 분야_1),1,교육·학습,Y25_02_1_1
,,2,주거 편의,
,,3,커뮤니케이션/친교,
,,4,미디어,
,,5,금융,
,,6,교통,
,,7,헬스케어,
,,8,기타,
,,10,인공지능 서비스를 이용한 적 없음,
145.0,인공지능 서비스 이용경험 분야_2),1,교육·학습,Y25_02_1_2
,,2,주거 편의,
,,3,커뮤니케이션/친교,
,,4,미디어,
,,5,금융,
,,6,교통,
,,7,헬스케어,
,,8,기타,
,,10,인공지능 서비스를 이용한 적 없음,
146.0,인공지능 서비스 이용경험 분야_3),1,교육·학습,Y25_02_1_3
,,2,주거 편의,
,,3,커뮤니케이션/친교,
,,4,미디어,
,,5,금융,
,,6,교통,
,,7,헬스케어,
,,8,기타,
,,10,인공지능 서비스를 이용한 적 없음,
147.0,인공지능 서비스 이용경험 분야_4),1,교육·학습,Y25_02_1_4
,,2,주거 편의,
,,3,커뮤니케이션/친교,
,,4,미디어,
,,5,금융,
,,6,교통,
,,7,헬스케어,
,,8,기타,
,,10,인공지능 서비스를 이용한 적 없음,
148.0,인공지능 서비스 이용경험 분야_5),1,교육·학습,Y25_02_1_5
,,2,주거 편의,
,,3,커뮤니케이션/친교,
,,4,미디어,
,,5,금융,
,,6,교통,
,,7,헬스케어,
,,8,기타,
,,10,인공지능 서비스를 이용한 적 없음,
149.0,인공지능 서비스 이용경험 분야_6),1,교육·학습,Y25_02_1_6
,,2,주거 편의,
,,3,커뮤니케이션/친교,
,,4,미디어,
,,5,금융,
,,6,교통,
,,7,헬스케어,
,,8,기타,
,,10,인공지능 서비스를 이용한 적 없음,
150.0,인공지능 서비스 이용경험 분야_7),1,교육·학습,Y25_02_1_7
,,2,주거 편의,
,,3,커뮤니케이션/친교,
,,4,미디어,
,,5,금융,
,,6,교통,
,,7,헬스케어,
,,8,기타,
,,10,인공지능 서비스를 이용한 적 없음,
151.0,인공지능 서비스 이용경험 분야_8),1,교육·학습,Y25_02_1_8
,,2,주거 편의,
,,3,커뮤니케이션/친교,
,,4,미디어,
,,5,금융,
,,6,교통,
,,7,헬스케어,
,,8,기타,
,,10,인공지능 서비스를 이용한 적 없음,
152.0,인공지능 서비스 이용경험 분야_없음,1,교육·학습,Y25_02_1_10
,,2,주거 편의,
,,3,커뮤니케이션/친교,
,,4,미디어,
,,5,금융,
,,6,교통,
,,7,헬스케어,
,,8,기타,
,,10,인공지능 서비스를 이용한 적 없음,
153.0,인공지능 서비스 도움 정도_교육·학습,1,전혀 도움이 되지 않음,Y25_03_1
,,2,도움이 되지 않음,
,,3,도움이 됨,
,,4,매우 도움이 됨,
154.0,인공지능 서비스 도움 정도_주거 편의,1,전혀 도움이 되지 않음,Y25_03_2
,,2,도움이 되지 않음,
,,3,도움이 됨,
,,4,매우 도움이 됨,
155.0,인공지능 서비스 도움 정도_커뮤니케이션/친교,1,전혀 도움이 되지 않음,Y25_03_3
,,2,도움이 되지 않음,
,,3,도움이 됨,
,,4,매우 도움이 됨,
156.0,인공지능 서비스 도움 정도_미디어,1,전혀 도움이 되지 않음,Y25_03_4
,,2,도움이 되지 않음,
,,3,도움이 됨,
,,4,매우 도움이 됨,
157.0,인공지능 서비스 도움 정도_금융,1,전혀 도움이 되지 않음,Y25_03_5
,,2,도움이 되지 않음,
,,3,도움이 됨,
,,4,매우 도움이 됨,
158.0,인공지능 서비스 도움 정도_교통,1,전혀 도움이 되지 않음,Y25_03_6
,,2,도움이 되지 않음,
,,3,도움이 됨,
,,4,매우 도움이 됨,
159.0,인공지능 서비스 도움 정도_헬스케어,1,전혀 도움이 되지 않음,Y25_03_7
,,2,도움이 되지 않음,
,,3,도움이 됨,
,,4,매우 도움이 됨,
160.0,인공지능 서비스 도움 정도_기타,1,전혀 도움이 되지 않음,Y25_03_8
,,2,도움이 되지 않음,
,,3,도움이 됨,
,,4,매우 도움이 됨,
161.0,인공지능 서비스 필요도_교육·학습,1,필요하지않음,Y25_04_1
,,2,필요함,
162.0,인공지능 서비스 필요도_주거 편의,1,필요하지않음,Y25_04_2
,,2,필요함,
163.0,인공지능 서비스 필요도_커뮤니케이션/친교,1,필요하지않음,Y25_04_3
,,2,필요함,
164.0,인공지능 서비스 필요도_미디어,1,필요하지않음,Y25_04_4
,,2,필요함,
165.0,인공지능 서비스 필요도_금융,1,필요하지않음,Y25_04_5
,,2,필요함,
166.0,인공지능 서비스 필요도_교통,1,필요하지않음,Y25_04_6
,,2,필요함,
167.0,인공지능 서비스 필요도_헬스케어,1,필요하지않음,Y25_04_7
,,2,필요함,
168.0,인공지능 서비스 필요도_기타,1,필요하지않음,Y25_04_8
,,2,필요함,
169.0,인공지능 서비스 향후 이용 의향_1),1,교육·학습,Y25_05_1_1
,,2,주거 편의,
,,3,커뮤니케이션/친교,
,,4,미디어,
,,5,금융,
,,6,교통,
,,7,헬스케어,
,,8,기타,
170.0,인공지능 서비스 향후 이용 의향_2),1,교육·학습,Y25_05_1_2
,,2,주거 편의,
,,3,커뮤니케이션/친교,
,,4,미디어,
,,5,금융,
,,6,교통,
,,7,헬스케어,
,,8,기타,
171.0,인공지능 서비스 향후 이용 의향_3),1,교육·학습,Y25_05_1_3
,,2,주거 편의,
,,3,커뮤니케이션/친교,
,,4,미디어,
,,5,금융,
,,6,교통,
,,7,헬스케어,
,,8,기타,
172.0,인공지능 서비스 향후 이용 의향_4),1,교육·학습,Y25_05_1_4
,,2,주거 편의,
,,3,커뮤니케이션/친교,
,,4,미디어,
,,5,금융,
,,6,교통,
,,7,헬스케어,
,,8,기타,
173.0,인공지능 서비스 향후 이용 의향_5),1,교육·학습,Y25_05_1_5
,,2,주거 편의,
,,3,커뮤니케이션/친교,
,,4,미디어,
,,5,금융,
,,6,교통,
,,7,헬스케어,
,,8,기타,
174.0,인공지능 서비스 향후 이용 의향_6),1,교육·학습,Y25_05_1_6
,,2,주거 편의,
,,3,커뮤니케이션/친교,
,,4,미디어,
,,5,금융,
,,6,교통,
,,7,헬스케어,
,,8,기타,
175.0,인공지능 서비스 향후 이용 의향_7),1,교육·학습,Y25_05_1_7
,,2,주거 편의,
,,3,커뮤니케이션/친교,
,,4,미디어,
,,5,금융,
,,6,교통,
,,7,헬스케어,
,,8,기타,
176.0,인공지능 서비스 향후 이용 의향_8),1,교육·학습,Y25_05_1_8
,,2,주거 편의,
,,3,커뮤니케이션/친교,
,,4,미디어,
,,5,금융,
,,6,교통,
,,7,헬스케어,
,,8,기타,
177.0,생성형 AI 경험활동_1) 챗지피티(ChatGPT),1,챗지피티(ChatGPT),Y26_1_1
,,2,제미나이(Gemini),
,,3,코파일럿(Copilot),
,,4,클로바 X(CLOVA X),
,,5,기타,
,,6,경험해 본 적 없음,
178.0,생성형 AI 경험활동_2) 제미나이(Gemini),1,챗지피티(ChatGPT),Y26_1_2
,,2,제미나이(Gemini),
,,3,코파일럿(Copilot),
,,4,클로바 X(CLOVA X),
,,5,기타,
,,6,경험해 본 적 없음,
179.0,생성형 AI 경험활동_3) 코파일럿(Copilot),1,챗지피티(ChatGPT),Y26_1_3
,,2,제미나이(Gemini),
,,3,코파일럿(Copilot),
,,4,클로바 X(CLOVA X),
,,5,기타,
,,6,경험해 본 적 없음,
180.0,생성형 AI 경험활동_4) 클로바 X(CLOVA X),1,챗지피티(ChatGPT),Y26_1_4
,,2,제미나이(Gemini),
,,3,코파일럿(Copilot),
,,4,클로바 X(CLOVA X),
,,5,기타,
,,6,경험해 본 적 없음,
181.0,생성형 AI 경험활동_5) 기타,1,챗지피티(ChatGPT),Y26_1_5
,,2,제미나이(Gemini),
,,3,코파일럿(Copilot),
,,4,클로바 X(CLOVA X),
,,5,기타,
,,6,경험해 본 적 없음,
