"특성별(1)",특성별(2),2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"특성별(1)",특성별(2),1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위
"특성별(1)",특성별(2),사례수 (명),직접방문 전화가 보다 편리할 것 같아서 (%),PC 및 인터넷 사용에 익숙하지 않아서 (%),인증 및 절차 등이 복잡해서 (%),필요한 정보나 서비스가 어디서 제공되는지 몰라서 (%),관련 정보나 이용절차 등을 자세히 안내받을 수 없어서 (%),주민등록번호 계좌번호 등 개인정보 유출이 걱정되어서 (%),관련되는 일이나 다른 일을 즉각적으로 처리할 수 없어서 (%),높은 품질의 정보나 온라인 서비스를 찾을 수 있다고 기대하지 않아서 (%),세무사 법무사 등 분야별 전문가 및 전문대행사 등이 대신 수행하고 있기 때문에 (%),추가적으로 비용이 소요되어서 (%),사례수 (명),직접방문 전화가 보다 편리할 것 같아서 (%),PC 및 인터넷 사용에 익숙하지 않아서 (%),인증 및 절차 등이 복잡해서 (%),필요한 정보나 서비스가 어디서 제공되는지 몰라서 (%),관련 정보나 이용절차 등을 자세히 안내받을 수 없어서 (%),주민등록번호 계좌번호 등 개인정보 유출이 걱정되어서 (%),관련되는 일이나 다른 일을 즉각적으로 처리할 수 없어서 (%),높은 품질의 정보나 온라인 서비스를 찾을 수 있다고 기대하지 않아서 (%),세무사 법무사 등 분야별 전문가 및 전문대행사 등이 대신 수행하고 있기 때문에 (%),추가적으로 비용이 소요되어서 (%),사례수 (명),직접방문 전화가 보다 편리할 것 같아서 (%),PC 및 인터넷 사용에 익숙하지 않아서 (%),인증 및 절차 등이 복잡해서 (%),필요한 정보나 서비스가 어디서 제공되는지 몰라서 (%),관련 정보나 이용절차 등을 자세히 안내받을 수 없어서 (%),주민등록번호 계좌번호 등 개인정보 유출이 걱정되어서 (%),관련되는 일이나 다른 일을 즉각적으로 처리할 수 없어서 (%),높은 품질의 정보나 온라인 서비스를 찾을 수 있다고 기대하지 않아서 (%),세무사 법무사 등 분야별 전문가 및 전문대행사 등이 대신 수행하고 있기 때문에 (%),추가적으로 비용이 소요되어서 (%)
"성?연령별",남성 20~29세,178277,39.6,11.7,20.9,48.8,27.6,50.4,38.0,30.3,16.6,16.2,178277,9.3,0.0,0.0,19.7,11.7,16.6,31.2,0.0,11.7,0.0,178277,23.5,0.0,9.4,48.8,14.0,21.8,31.2,18.7,16.6,16.2
"성?연령별",남성 30~39세,52071,48.1,0.0,92.4,7.6,15.7,36.2,43.8,0.0,0.0,56.2,52071,7.6,0.0,58.6,0.0,15.7,0.0,18.1,0.0,0.0,0.0,52071,48.1,0.0,92.4,7.6,15.7,18.1,18.1,0.0,0.0,0.0
"성?연령별",남성 40~49세,54174,38.9,12.9,12.9,35.3,72.8,33.8,0.0,22.4,32.0,38.9,54174,0.0,0.0,12.9,14.3,38.9,25.7,0.0,8.1,0.0,0.0,54174,38.9,0.0,12.9,27.2,47.0,33.8,0.0,22.4,17.7,0.0
"성?연령별",남성 50~59세,337189,54.0,24.3,72.1,42.3,22.1,26.4,21.2,5.3,18.7,13.5,337189,36.5,4.7,23.1,9.7,0.0,14.1,0.0,0.0,5.7,6.2,337189,45.1,13.4,48.5,23.7,11.5,17.8,12.4,5.3,8.8,13.5
"성?연령별",남성 60~74세,810367,58.4,57.5,42.5,36.9,20.1,33.2,20.5,16.1,9.0,5.8,810367,17.6,24.6,19.9,11.0,3.0,11.1,1.7,4.7,2.6,3.8,810367,37.9,47.3,34.5,18.5,7.8,22.0,10.9,9.9,6.4,4.8
"성?연령별",여성 16~19세,174737,35.9,5.8,58.0,68.0,53.6,28.7,30.8,14.6,4.6,0.0,174737,14.9,5.8,23.3,29.2,5.4,0.0,7.6,9.2,4.6,0.0,174737,24.3,5.8,37.1,55.8,38.7,17.0,7.6,9.2,4.6,0.0
"성?연령별",여성 20~29세,86760,42.5,0.0,8.7,75.4,64.6,15.8,33.1,40.2,0.0,19.5,86760,26.6,0.0,0.0,24.4,0.0,8.7,24.4,15.8,0.0,0.0,86760,26.6,0.0,8.7,51.0,57.5,15.8,24.4,15.8,0.0,0.0
"성?연령별",여성 30~39세,39547,53.3,46.7,75.3,75.3,0.0,0.0,0.0,24.7,24.7,0.0,39547,0.0,24.7,22.0,53.3,0.0,0.0,0.0,0.0,0.0,0.0,39547,53.3,24.7,22.0,75.3,0.0,0.0,0.0,24.7,0.0,0.0
"성?연령별",여성 40~49세,227985,51.4,11.3,45.4,38.5,36.6,33.5,37.8,21.4,0.0,24.2,227985,9.3,3.7,15.8,16.8,0.0,15.0,23.6,12.1,0.0,3.7,227985,25.1,11.3,24.9,29.5,18.5,16.7,37.8,12.1,0.0,24.2
"성?연령별",여성 50~59세,329185,39.9,52.8,42.7,38.4,37.4,37.3,27.6,7.5,5.0,11.4,329185,13.6,29.5,12.2,5.0,2.0,8.8,16.3,0.0,1.2,11.4,329185,31.0,50.8,22.0,25.3,5.0,21.8,25.8,2.0,5.0,11.4
"성?연령별",여성 60~74세,785280,49.5,63.8,34.1,29.0,21.9,38.4,28.9,16.2,7.4,10.9,785280,16.8,34.5,8.7,10.0,3.9,3.3,9.3,6.6,2.0,4.7,785280,33.4,52.5,20.6,19.9,10.9,23.8,14.5,11.2,3.3,9.9
"교육수준별",중졸이하,1109344,54.1,40.5,41.5,54.1,34.6,26.5,26.7,11.5,2.6,7.7,1109344,20.6,21.1,19.7,18.8,4.0,3.3,2.0,6.3,2.0,2.0,1109344,34.4,35.6,32.9,37.1,18.6,16.3,12.0,8.4,2.0,2.6
"교육수준별",고졸,1642626,45.5,45.6,47.6,36.7,24.5,36.2,24.1,20.3,8.7,10.9,1642626,16.9,21.2,12.7,10.7,2.7,9.2,9.1,7.8,3.3,6.3,1642626,30.3,37.1,28.9,25.0,11.2,22.5,16.0,13.7,5.8,9.4
