"특성별(1)",특성별(2),2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"특성별(1)",특성별(2),1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위
"특성별(1)",특성별(2),사례수 (명),정부24 (%),국민신문고 (%),안전신문고 (%),국세청 홈택스(손택스) (%),스마트 위택스 (%),우체국 우체국스마트뱅킹 우체국보험 우체국쇼핑몰 (%),코레일톡 SRT (%),청약홈 (%),임신육아종합포털(아이사랑) (%),대한민국구석구석 (%),복지로 (%),나이스플러스 (%),내 곁에 국민연금 (%),모바일 신분증(모바일 운전면허증·공무원증·국가보훈등록증) (%),The건강보험 (%),대법원 인터넷 등기소 (%),고용24 (%),기상청 날씨알리미 (%),없음 (%),사례수 (명),정부24 (%),국민신문고 (%),안전신문고 (%),국세청 홈택스(손택스) (%),스마트 위택스 (%),우체국 우체국스마트뱅킹 우체국보험 우체국쇼핑몰 (%),코레일톡 SRT (%),청약홈 (%),복지로 (%),나이스플러스 (%),내 곁에 국민연금 (%),모바일 신분증(모바일 운전면허증·공무원증·국가보훈등록증) (%),The건강보험 (%),대법원 인터넷 등기소 (%),기상청 날씨알리미 (%),없음 (%),사례수 (명),정부24 (%),국민신문고 (%),안전신문고 (%),국세청 홈택스(손택스) (%),스마트 위택스 (%),우체국 우체국스마트뱅킹 우체국보험 우체국쇼핑몰 (%),코레일톡 SRT (%),청약홈 (%),대한민국구석구석 (%),복지로 (%),나이스플러스 (%),내 곁에 국민연금 (%),모바일 신분증(모바일 운전면허증·공무원증·국가보훈등록증) (%),The건강보험 (%),대법원 인터넷 등기소 (%),고용24 (%),기상청 날씨알리미 (%),없음 (%)
"연령별",50~59세,142996,51.1,0.0,0.0,7.4,20.3,9.2,58.1,9.7,0.0,0.0,9.2,4.6,5.6,15.2,5.2,11.7,4.6,0.0,119.8,142996,22.0,0.0,0.0,2.6,0.0,4.6,19.3,4.8,4.6,0.0,5.6,4.8,2.6,11.7,0.0,38.3,142996,36.5,0.0,0.0,7.4,20.3,4.6,34.0,9.7,0.0,9.2,4.6,5.6,9.7,5.2,11.7,4.6,0.0,76.6
"연령별",60~74세,258333,39.0,19.5,0.0,13.0,9.2,0.0,2.6,7.8,0.0,0.0,10.5,0.0,0.0,0.0,16.3,0.0,2.6,38.9,124.7,258333,14.9,6.5,0.0,5.1,6.6,0.0,0.0,5.2,0.0,0.0,0.0,0.0,9.8,0.0,15.5,36.4,258333,25.7,13.0,0.0,10.3,6.6,0.0,2.6,7.8,0.0,2.6,0.0,0.0,0.0,13.0,0.0,0.0,27.2,92.2
"성?연령별",남성 16~19세,46567,45.9,106.5,0.0,0.0,0.0,0.0,45.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.6,0.0,46567,45.9,35.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.6,0.0,46567,45.9,71.0,0.0,0.0,0.0,0.0,45.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.1,0.0
"성?연령별",남성 20~29세,19866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.0,19866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,19866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.5
"성?연령별",남성 30~39세,91538,60.8,18.1,0.0,53.0,0.0,0.0,61.9,7.6,0.0,0.0,0.0,15.2,0.0,15.2,0.0,0.0,0.0,0.0,95.0,91538,29.2,18.1,0.0,16.9,0.0,0.0,18.1,7.6,0.0,7.6,0.0,0.0,0.0,0.0,0.0,27.4,91538,54.0,18.1,0.0,34.9,0.0,0.0,36.2,7.6,0.0,0.0,15.2,0.0,7.6,0.0,0.0,0.0,0.0,61.2
"성?연령별",남성 40~49세,116968,85.5,30.4,8.4,26.7,11.2,0.0,5.3,5.8,0.0,8.4,18.7,0.0,11.2,0.0,11.2,0.0,0.0,10.5,116.8,116968,31.0,12.4,8.4,13.3,3.7,0.0,0.0,0.0,11.2,0.0,3.7,0.0,3.7,0.0,0.0,38.7,116968,49.2,17.6,8.4,17.1,7.5,0.0,5.3,5.8,8.4,18.7,0.0,7.5,0.0,7.5,0.0,0.0,5.3,84.5
"성?연령별",남성 50~59세,83373,60.5,0.0,0.0,4.4,9.5,0.0,24.0,0.0,0.0,0.0,7.8,0.0,9.5,26.1,8.9,20.2,7.8,0.0,135.8,83373,20.2,0.0,0.0,4.4,0.0,0.0,7.8,0.0,7.8,0.0,9.5,8.3,4.4,20.2,0.0,45.3,83373,40.3,0.0,0.0,4.4,9.5,0.0,7.8,0.0,0.0,7.8,0.0,9.5,16.6,8.9,20.2,7.8,0.0,90.6
"성?연령별",남성 60~74세,91653,14.8,0.0,0.0,7.0,18.5,0.0,0.0,14.8,0.0,0.0,7.4,0.0,0.0,0.0,27.6,0.0,0.0,10.6,166.8,91653,0.0,0.0,0.0,7.0,18.5,0.0,0.0,7.4,0.0,0.0,0.0,0.0,9.2,0.0,10.6,47.3,91653,7.4,0.0,0.0,7.0,18.5,0.0,0.0,14.8,0.0,0.0,0.0,0.0,0.0,18.4,0.0,0.0,10.6,130.7
"성?연령별",여성 16~19세,6207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,6207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,6207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0
"성?연령별",여성 20~29세,78589,35.7,0.0,0.0,0.0,0.0,0.0,48.9,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.4,78589,35.7,0.0,0.0,0.0,0.0,0.0,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.9,78589,35.7,0.0,0.0,0.0,0.0,0.0,38.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.6
